order_id,quantity,item_id,choice_description_id,item_price
1,1,0,0,$2.39 
1,1,3,0,$2.39 
3,1,4,4,$10.98 
3,1,5,0,$1.69 
4,1,6,5,$11.75 
5,1,6,7,$9.25 
5,1,8,0,$4.45 
7,1,8,0,$4.45 
8,1,3,0,$2.39 
8,1,11,11,$8.49 
9,2,12,13,$2.18 
10,1,4,14,$8.75 
11,1,13,15,$8.99 
12,1,11,17,$10.98 
14,1,14,20,$8.99 
14,1,12,21,$1.09 
16,1,6,23,$8.99 
18,1,10,25,$8.75 
18,1,10,26,$8.75 
18,1,8,0,$4.45 
19,1,19,0,$2.15 
21,1,11,31,$10.98 
22,1,8,0,$3.99 
23,1,6,35,$8.99 
24,1,12,13,$1.09 
25,1,21,38,$8.99 
25,1,0,0,$2.39 
26,1,23,40,$11.25 
28,1,7,41,$9.25 
28,1,24,42,$11.25 
28,1,11,43,$8.75 
29,1,7,44,$8.99 
30,1,11,31,$10.98 
31,1,5,0,$1.69 
32,1,6,47,$8.99 
32,1,8,0,$3.99 
33,1,11,48,$8.75 
34,1,19,0,$2.15 
34,1,4,51,$8.75 
35,1,10,52,$11.25 
36,1,13,53,$9.25 
36,1,11,51,$8.75 
37,1,11,54,$8.75 
37,1,7,55,$9.25 
38,1,24,56,$8.49 
38,1,21,57,$8.99 
39,1,14,58,$9.25 
39,1,0,0,$2.95 
40,1,25,61,$9.25 
41,1,8,0,$4.45 
42,1,18,63,$9.25 
42,1,8,0,$4.45 
43,1,11,65,$8.75 
45,1,21,67,$8.99 
45,1,8,0,$3.99 
48,1,6,71,$9.25 
48,1,8,0,$4.45 
49,1,4,72,$8.75 
49,1,26,0,$2.95 
50,1,11,22,$8.49 
51,1,18,73,$8.99 
51,1,11,74,$8.49 
52,1,7,76,$8.99 
52,1,8,0,$3.99 
53,1,11,77,$8.75 
53,1,8,0,$4.45 
55,1,6,70,$8.99 
56,1,26,0,$2.95 
58,1,11,22,$8.49 
58,1,3,0,$2.39 
61,1,18,40,$11.75 
61,1,8,0,$4.45 
63,1,4,86,$11.25 
64,1,24,87,$11.25 
65,1,15,89,$9.25 
67,1,5,0,$1.69 
68,2,11,77,$17.50 
68,1,8,0,$4.45 
70,2,4,91,$17.50 
70,1,8,0,$4.45 
73,1,4,95,$8.49 
73,1,11,96,$10.98 
74,1,3,0,$2.39 
75,1,8,0,$4.45 
75,1,27,101,$11.75 
75,1,11,102,$8.75 
76,2,12,75,$2.18 
77,1,2,2,$3.39 
78,1,11,104,$8.49 
79,1,4,37,$10.98 
80,1,6,106,$11.48 
83,1,7,110,$9.25 
83,1,28,42,$11.25 
84,1,11,112,$8.49 
85,1,29,0,$2.39 
86,1,0,0,$2.95 
87,1,12,80,$1.09 
87,1,6,46,$8.99 
88,1,3,0,$2.39 
89,1,12,97,$1.09 
89,1,8,0,$3.99 
90,1,11,119,$8.75 
91,1,2,120,$3.39 
92,1,19,0,$2.15 
93,1,24,28,$11.25 
93,1,4,123,$11.25 
93,1,8,0,$4.45 
95,1,8,0,$4.45 
96,1,11,48,$8.75 
97,1,18,65,$9.25 
97,1,4,9,$8.75 
97,1,19,0,$2.15 
98,1,13,128,$9.25 
98,1,4,129,$8.75 
102,1,4,132,$8.75 
102,1,30,0,$2.95 
103,1,6,133,$11.75 
103,1,6,65,$9.25 
103,1,31,134,$9.25 
103,1,6,133,$11.75 
106,1,21,136,$9.25 
107,1,11,137,$10.98 
108,1,12,36,$1.09 
109,1,32,37,$10.98 
110,1,24,140,$8.75 
110,1,18,128,$9.25 
110,1,27,141,$9.25 
111,1,4,43,$8.75 
112,1,6,143,$8.99 
112,1,21,143,$8.99 
113,1,21,46,$8.99 
113,1,12,36,$1.09 
115,1,6,146,$8.99 
115,1,0,0,$2.39 
116,1,0,0,$2.95 
117,1,22,147,$8.99 
117,1,8,0,$3.99 
118,1,11,22,$8.49 
118,1,3,0,$2.39 
119,1,11,148,$8.49 
120,1,11,150,$8.49 
121,1,11,151,$8.49 
121,1,8,0,$3.99 
122,1,7,152,$8.99 
122,1,12,80,$1.09 
124,2,4,153,$17.50 
124,1,19,0,$2.15 
125,1,21,122,$9.25 
125,1,8,0,$4.45 
126,1,11,116,$8.75 
126,1,4,156,$11.25 
127,1,4,157,$11.25 
129,1,35,13,$6.49 
131,1,4,161,$8.49 
131,1,0,0,$2.39 
132,1,19,0,$2.15 
134,1,11,163,$8.75 
135,1,8,0,$4.45 
135,1,4,153,$8.75 
136,1,6,165,$8.99 
138,1,11,167,$8.49 
138,1,12,97,$1.09 
138,1,16,0,$1.09 
143,1,4,173,$8.75 
143,1,19,0,$2.15 
144,1,11,162,$11.25 
145,1,10,12,$8.49 
145,1,10,174,$8.49 
146,1,13,175,$11.75 
146,1,6,176,$9.25 
147,1,21,177,$11.75 
147,1,33,145,$1.25 
148,1,11,118,$11.25 
148,1,8,0,$4.45 
149,1,7,142,$9.25 
149,1,10,178,$11.25 
149,1,33,13,$1.25 
150,2,12,97,$2.18 
154,1,35,145,$6.49 
155,1,6,182,$8.99 
156,1,6,183,$8.99 
157,1,19,0,$2.15 
158,1,9,185,$11.25 
158,1,17,0,$2.95 
159,1,33,97,$1.25 
160,1,6,187,$8.99 
160,1,12,97,$1.09 
161,1,4,116,$8.75 
161,1,11,116,$8.75 
162,1,14,58,$9.25 
162,1,0,0,$2.95 
163,1,13,188,$11.75 
164,1,12,36,$1.09 
165,1,33,145,$1.25 
166,1,11,189,$11.25 
166,1,6,190,$11.75 
167,1,13,44,$8.99 
168,1,35,97,$6.49 
169,1,11,110,$8.75 
170,1,11,191,$11.25 
170,1,8,0,$4.45 
170,1,33,145,$1.25 
172,1,11,193,$8.49 
173,1,11,167,$8.49 
174,1,11,188,$11.25 
174,1,33,13,$1.25 
175,1,33,145,$1.25 
176,1,6,196,$11.75 
177,1,4,133,$11.25 
177,1,19,0,$2.15 
179,1,33,145,$1.25 
179,1,4,84,$11.25 
180,1,5,0,$1.69 
182,1,35,97,$6.49 
182,1,18,200,$9.25 
184,1,14,201,$9.25 
184,1,4,202,$8.75 
184,1,19,0,$2.15 
185,2,10,203,$17.50 
186,1,1,18,$3.39 
189,1,23,207,$10.98 
191,1,6,181,$9.25 
192,1,8,0,$4.45 
192,1,21,210,$9.25 
194,1,11,167,$8.49 
195,1,11,201,$8.75 
195,1,4,212,$8.75 
195,1,13,213,$11.75 
195,1,11,162,$11.25 
195,1,28,64,$11.25 
196,1,33,145,$1.25 
197,1,4,95,$8.49 
198,1,14,162,$11.75 
198,1,11,162,$11.25 
199,1,4,215,$8.75 
200,1,23,217,$8.49 
200,1,8,0,$3.99 
201,1,23,218,$8.49 
201,1,8,0,$3.99 
202,1,5,0,$1.69 
205,1,11,162,$11.25 
205,1,4,162,$11.25 
205,1,4,200,$8.75 
205,1,27,221,$11.75 
205,1,4,51,$8.75 
205,1,19,0,$2.15 
206,1,4,10,$11.25 
206,2,33,97,$2.50 
207,1,28,223,$11.25 
208,1,8,0,$3.99 
209,1,21,116,$9.25 
210,1,4,226,$11.25 
212,1,33,179,$1.25 
213,1,6,229,$8.99 
214,1,38,231,$7.40 
215,1,33,97,$1.25 
215,1,8,0,$4.45 
215,1,24,132,$8.75 
216,1,11,127,$8.75 
216,1,8,0,$4.45 
218,1,6,236,$8.99 
219,1,5,0,$1.69 
220,1,20,237,$8.75 
220,1,4,238,$8.75 
222,1,24,226,$11.25 
222,1,0,0,$2.95 
223,1,11,43,$8.75 
223,2,6,241,$18.50 
224,1,23,217,$8.49 
225,1,17,0,$2.95 
226,1,4,121,$8.75 
226,1,8,0,$4.45 
227,1,4,245,$11.25 
227,1,8,0,$4.45 
228,1,4,246,$10.98 
230,1,8,0,$4.45 
230,1,11,55,$8.75 
230,1,35,97,$6.49 
230,1,40,248,$9.25 
231,1,4,121,$8.75 
231,1,13,227,$9.25 
233,1,6,249,$9.25 
233,1,31,251,$9.25 
234,1,11,252,$8.75 
234,1,7,253,$9.25 
235,1,6,254,$11.75 
235,1,6,255,$11.75 
236,1,13,140,$9.25 
237,2,10,257,$16.98 
237,1,1,1,$3.39 
238,1,25,258,$9.25 
238,1,6,144,$11.75 
239,1,19,0,$2.15 
240,1,8,0,$4.45 
242,1,11,213,$11.25 
244,1,26,0,$2.95 
244,1,16,0,$1.50 
247,1,9,263,$8.49 
247,1,11,257,$8.49 
247,1,9,184,$8.49 
249,1,4,265,$8.75 
249,1,8,0,$4.45 
250,1,34,267,$9.39 
251,1,0,0,$2.95 
251,1,33,268,$1.25 
